dataset,cell,k_max,dynamic,k_reg,seed,wall_time_s,mse,nll_gaussian,nll_mdn,effective_k,max_p_mid,sum_p_mid
heteroscedastic,B,5,GUMBEL_SOFTMAX,K_PENALTY,2026,23.6,2.438795,1.587008,,2.5005,0.1009,0.2108
heteroscedastic,B,5,GUMBEL_SOFTMAX,K_PENALTY,31,22.7,2.239962,1.595071,,2.2721,0.5195,0.5406
heteroscedastic,B,5,GUMBEL_SOFTMAX,ELBO,42,21.2,2.335443,1.666932,,2.3493,0.8458,0.8513
heteroscedastic,B,5,GUMBEL_SOFTMAX,ELBO,123,4.6,2.607013,1.909699,,2.2367,0.4982,0.5116
heteroscedastic,B,5,GUMBEL_SOFTMAX,ELBO,7,10.0,1.962088,1.710128,,2.341,0.6001,0.6365
heteroscedastic,B,5,GUMBEL_SOFTMAX,ELBO,2026,20.3,2.202297,1.73337,,2.4414,0.4206,0.5023
heteroscedastic,B,5,GUMBEL_SOFTMAX,ELBO,31,6.5,2.330447,1.845482,,2.2685,0.4733,0.5026
heteroscedastic,C,5,NONE,NONE,42,10.8,1.897622,1.62763,4.520601,5.0,0.3582,0.5754
heteroscedastic,C,5,NONE,NONE,123,8.2,1.731213,1.604685,3.678042,5.0,0.3585,0.5556
heteroscedastic,C,5,NONE,NONE,7,9.8,1.693855,1.580217,2.786475,5.0,0.3516,0.5516
heteroscedastic,C,5,NONE,NONE,2026,6.6,1.84661,1.639767,2.662064,5.0,0.391,0.6236
heteroscedastic,C,5,NONE,NONE,31,10.8,1.672246,1.551912,4.469366,5.0,0.4134,0.6275
heteroscedastic,B,7,NONE,NONE,42,11.7,2.564708,1.758441,3.074856,7.0,0.1347,0.1352
heteroscedastic,B,7,NONE,NONE,123,11.3,2.333239,1.589625,3.472029,7.0,0.0266,0.0269
heteroscedastic,B,7,NONE,NONE,7,11.0,2.046116,1.562066,2.621234,7.0,0.0224,0.0279
heteroscedastic,B,7,NONE,NONE,2026,11.1,2.02784,1.550393,3.109129,7.0,0.0006,0.0011
heteroscedastic,B,7,NONE,NONE,31,10.9,1.705381,1.438834,2.81692,7.0,0.2888,0.2895
heteroscedastic,B,7,SOFT_GATING,NONE,42,19.0,1.941369,1.560217,,5.3231,0.5991,0.6102
heteroscedastic,B,7,SOFT_GATING,NONE,123,28.4,1.748521,1.413007,,6.4059,0.1938,0.1947
heteroscedastic,B,7,SOFT_GATING,NONE,7,16.5,1.685132,1.336387,,5.1587,0.2758,0.2838
heteroscedastic,B,7,SOFT_GATING,NONE,2026,21.8,1.992474,1.662,,4.7109,0.6869,0.8101
heteroscedastic,B,7,SOFT_GATING,NONE,31,24.6,1.737293,1.418102,,5.976,0.0636,0.0643
heteroscedastic,B,7,SOFT_GATING,K_PENALTY,42,19.2,2.018463,1.571236,,4.5269,0.6038,0.6093
heteroscedastic,B,7,SOFT_GATING,K_PENALTY,123,40.7,1.795944,1.471355,,4.8979,0.0005,0.0009
heteroscedastic,B,7,SOFT_GATING,K_PENALTY,7,25.5,1.6192,1.330047,,4.2841,0.0462,0.0579
heteroscedastic,B,7,SOFT_GATING,K_PENALTY,2026,21.7,1.965204,1.640544,,3.873,0.657,0.7384
heteroscedastic,B,7,SOFT_GATING,K_PENALTY,31,16.4,1.982443,1.401632,,5.8697,0.0519,0.0522
heteroscedastic,B,7,SOFT_GATING,ELBO,42,28.0,1.947866,1.517097,,3.7865,0.6559,0.656
heteroscedastic,B,7,SOFT_GATING,ELBO,123,34.2,1.772191,1.483934,,3.7571,0.5346,0.5449
heteroscedastic,B,7,SOFT_GATING,ELBO,7,19.9,1.595695,1.273204,,3.8028,0.3934,0.3962
heteroscedastic,B,7,SOFT_GATING,ELBO,2026,21.6,1.944661,1.553585,,3.875,0.6052,0.6104
heteroscedastic,B,7,SOFT_GATING,ELBO,31,25.2,1.808371,1.380749,,3.7439,0.0667,0.0671
heteroscedastic,B,7,GUMBEL_SOFTMAX,NONE,42,19.7,2.153165,1.496771,,6.7496,0.5071,0.5279
heteroscedastic,B,7,GUMBEL_SOFTMAX,NONE,123,21.0,1.704129,1.398037,,5.5607,0.2074,0.2148
heteroscedastic,B,7,GUMBEL_SOFTMAX,NONE,7,22.5,1.964289,1.486603,,6.2438,0.2203,0.2215
