dataset,cell,k_max,dynamic,k_reg,mse_mean,mse_std,nll_gaussian_mean,nll_gaussian_std,nll_mdn_mean,nll_mdn_std,effective_k_mean,effective_k_std,max_p_mid_mean,max_p_mid_std,sum_p_mid_mean,sum_p_mid_std,wall_time_s_mean,wall_time_s_std
exponential,C,5,NONE,NONE,2.4200104,0.6820573480194315,1.2973203999999998,0.11024805316104232,2.2599938,0.4181137007426329,5.0,0.0,0.46902,0.05034944885497755,0.61544,0.05452149117549882,8.559999999999999,1.425833089811006
exponential,C,5,SOFT_GATING,ELBO,0.9674326000000001,0.9785754235912529,0.9723186,0.180093614673869,,,3.12854,0.09093917197775647,0.31120000000000003,0.20144474428487827,0.35065999999999997,0.2294016848238042,21.68,1.5122830422906963
exponential,C,5,SOFT_GATING,K_PENALTY,0.3140564,0.04349519223776348,0.8574702000000001,0.07356922796387091,,,4.9573599999999995,0.05528239321881755,0.542,0.26241620567335394,0.65404,0.28164053863036126,16.4,3.3037857073363583
exponential,C,5,SOFT_GATING,NONE,0.3185478,0.0411041678446359,0.8508566,0.0668434940461673,,,4.97874,0.028128419792089236,0.46946000000000004,0.24826335412219014,0.55942,0.23866038003824597,18.56,1.5109599597606829
exponential,C,7,GUMBEL_SOFTMAX,ELBO,2.7412994,1.7621975721018912,1.3667696,0.08110675669326205,,,2.7619,0.18563660738119525,0.15638000000000002,0.09612609947355609,0.22708,0.12101465613718033,27.18,5.535973265831403
exponential,C,7,GUMBEL_SOFTMAX,K_PENALTY,0.5242794,0.3998889216648793,0.8995202000000001,0.06881156587158874,,,6.583119999999999,0.8536859358101196,0.38358,0.16074486616996514,0.5119,0.2115130137840223,29.2,5.415256226624923
exponential,C,7,GUMBEL_SOFTMAX,NONE,0.3711664,0.1262416933417799,0.8730502,0.06830820197604383,,,6.98612,0.03081326013261176,0.33718,0.2193996513215096,0.46449999999999997,0.28188040017000116,30.060000000000002,1.9907285098676823
exponential,C,7,NONE,NONE,1.0886206,0.3994652248497984,1.168259,0.07301930112990672,2.1524462,0.37822198637202464,7.0,0.0,0.32924000000000003,0.028252840565153814,0.47078,0.035556180897278584,8.6,2.320560277174459
exponential,C,7,SOFT_GATING,ELBO,1.0963074000000002,1.6501945672076976,0.9792772,0.20739723338728508,,,3.83662,0.075350726605654,0.21502,0.1262916743099085,0.2564,0.1209751627401261,25.76,8.195608580209282
exponential,C,7,SOFT_GATING,K_PENALTY,0.31013419999999997,0.023714616657243268,0.8339836,0.033768469002902674,,,5.9427,0.9359091809572124,0.36049999999999993,0.1720593792851758,0.49236,0.26324188116635244,25.68,7.657806474441621
exponential,C,7,SOFT_GATING,NONE,0.3166002,0.03509857481009733,0.8537279999999999,0.05745605758316525,,,6.3504000000000005,0.7687778710394831,0.25482,0.19039481873202327,0.37686000000000003,0.28988929438666755,29.060000000000002,3.4048494827231344
heteroscedastic,B,3,GUMBEL_SOFTMAX,ELBO,2.4717957999999998,0.35093696885153003,1.8237816000000002,0.11106365027676701,,,2.10934,0.03487639602940659,0.11884000000000002,0.13115255620840946,0.11884000000000002,0.13115255620840946,6.540000000000001,2.825420322713065
heteroscedastic,B,3,GUMBEL_SOFTMAX,K_PENALTY,1.9885422,0.46258891239382294,1.4671144,0.15569701623441604,,,2.90008,0.13739234694843813,0.24242,0.405420444723746,0.24242,0.405420444723746,8.92,2.9363242327781176
heteroscedastic,B,3,GUMBEL_SOFTMAX,NONE,1.9579307999999997,0.42991708769796527,1.4564506,0.1168827589223492,,,2.9674,0.07283992723774518,0.23364,0.4104338351062202,0.23364,0.4104338351062202,9.4,3.2046840717924123
heteroscedastic,B,3,NONE,NONE,2.4396215999999997,0.5733738243635649,1.7036368,0.12285980022244865,3.358686,2.719900678395537,3.0,0.0,0.09106,0.11312794968530103,0.09106,0.11312794968530103,7.859999999999999,1.1013627921806697
heteroscedastic,B,3,SOFT_GATING,ELBO,1.7850378,0.12544687687304135,1.4260394,0.06879890517515522,,,2.3476,0.0051307894129462425,0.281,0.22846461432790857,0.281,0.22846461432790857,12.72,1.6873055443517038
heteroscedastic,B,3,SOFT_GATING,K_PENALTY,1.8517038,0.1870056660577428,1.435503,0.11217352737388628,,,2.68426,0.23682408661282753,0.19290000000000002,0.17515296172203312,0.19290000000000002,0.17515296172203312,9.26,1.6949926253526886
heteroscedastic,B,3,SOFT_GATING,NONE,1.7871768,0.13560584997041986,1.4049718,0.09365959393302967,,,2.7417000000000002,0.22789691748683236,0.19324,0.1763150674219308,0.19324,0.1763150674219308,9.040000000000001,1.1326958991715292
heteroscedastic,B,5,GUMBEL_SOFTMAX,ELBO,2.2874576,0.2341922528560669,1.7731222000000002,0.10088858727427993,,,2.3273800000000002,0.07961825795632552,0.5676,0.16864855469288786,0.60086,0.15110166445145465,12.52,7.765114294071917
heteroscedastic,B,5,GUMBEL_SOFTMAX,K_PENALTY,2.2033859999999996,0.3046891777738421,1.550174,0.12430697419895642,,,3.06494,0.6568068917117115,0.58714,0.3572087806871494,0.6347400000000001,0.3464558961830495,19.7,4.990490957811667
heteroscedastic,B,5,GUMBEL_SOFTMAX,NONE,2.0991646,0.33083156173618017,1.5411540000000001,0.14108116978002416,,,4.24586,0.5004951578187345,0.50884,0.31979481390416575,0.53516,0.332239014867309,20.02,4.552691511622549
heteroscedastic,B,5,NONE,NONE,2.2873706,0.29560866483714565,1.6847676,0.039988290677397106,3.2163778,2.1971443257723653,5.0,0.0,0.56272,0.08514518189539558,0.5986,0.0885920143128036,8.42,1.9357169214531342
heteroscedastic,B,5,SOFT_GATING,ELBO,1.8793042,0.20312277791449188,1.442985,0.10518062679742887,,,3.0849800000000003,0.05322853558008176,0.58108,0.2813332845576577,0.6273799999999999,0.2819417262485282,20.380000000000003,4.321110968258047
heteroscedastic,B,5,SOFT_GATING,K_PENALTY,1.9266524,0.20862076716688582,1.4529188,0.09612479083306238,,,3.1494,0.6063109309586956,0.52254,0.43985813963140435,0.55664,0.46655984932267797,15.780000000000001,4.701276422419767
heteroscedastic,B,5,SOFT_GATING,NONE,1.824348,0.1872077742402809,1.4796386,0.15354918496787923,,,3.61678,0.34552155070270185,0.5631,0.4219134567657211,0.5856,0.4365507244295902,15.3,4.91121166312347
heteroscedastic,B,7,GUMBEL_SOFTMAX,ELBO,2.2240786,0.3386631690238843,1.7363228,0.14746137712194338,,,2.68418,0.12599185291121007,0.19290000000000002,0.200549569932224,0.20956000000000002,0.20143674689589283,20.080000000000002,13.810756677314968
heteroscedastic,B,7,GUMBEL_SOFTMAX,K_PENALTY,1.9143245999999998,0.1282841275170082,1.502674,0.08728672822657522,,,5.13296,1.3555407954023369,0.25270000000000004,0.1521062950702567,0.2619,0.15363359007717028,21.72,5.977624946414755
heteroscedastic,B,7,GUMBEL_SOFTMAX,NONE,1.8799108,0.19762703688311473,1.4688062,0.09558634230213019,,,6.016360000000001,0.8521105403643356,0.2956,0.19025204335302157,0.32042000000000004,0.21820129926285958,19.080000000000002,3.507420704734463
heteroscedastic,B,7,NONE,NONE,2.1354568,0.3270713757235569,1.5798717999999998,0.11517355522297641,3.0188336,0.32230900659506867,7.0,0.0,0.09462,0.1204102238184117,0.09612,0.11978861381617202,11.2,0.31622776601683805
heteroscedastic,B,7,SOFT_GATING,ELBO,1.8137568000000002,0.14528322192600215,1.4417138,0.11411901359414219,,,3.7930599999999997,0.05138553298351587,0.45116000000000006,0.23651360003179522,0.45492,0.23798948926370678,25.78,5.6614485778818135
heteroscedastic,B,7,SOFT_GATING,K_PENALTY,1.8762508,0.16728572926792054,1.4829628,0.1252564113836094,,,4.69032,0.757258114515784,0.27188,0.3284273389960099,0.29174,0.35249041547253446,24.7,9.549607321769834
heteroscedastic,B,7,SOFT_GATING,NONE,1.8209578,0.13657616981633364,1.4779426,0.13084506184529857,,,5.51492,0.673902049262354,0.36384,0.26763955798797756,0.39262,0.30839858462710235,22.06,4.663475099107959
heteroscedastic,C,3,GUMBEL_SOFTMAX,ELBO,2.3225004,0.22883623712668422,1.7817042,0.05599522475800954,,,2.0488799999999996,0.01605216496301968,0.15064,0.040945671321887006,0.15064,0.040945671321887006,14.319999999999999,4.29383278668371
heteroscedastic,C,3,GUMBEL_SOFTMAX,K_PENALTY,1.8380498000000003,0.24215045899956503,1.475809,0.17272480279913482,,,2.8708400000000003,0.19785674868449646,0.34054,0.10333108438412905,0.34054,0.10333108438412905,9.620000000000001,3.6086008368895555
