dataset,k,cell,mse_mean,mse_std,nll_gaussian_mean,nll_gaussian_std,nll_mdn_mean,nll_mdn_std,nll_own_mean,nll_own_std,max_p_mid_mean,max_p_mid_std,anchor_error_mean,anchor_error_std
bimodal,5,G,2.712297,0.12296789588750394,2.0072313333333334,0.06847383829122858,1.4358813333333333,0.022596065018788847,1.4358813333333333,0.022596065018788847,0.7814333333333333,0.06833595929913718,0.3554,0.20700647332873434
bimodal,5,H,2.7323753333333336,0.15218305301292048,2.00359,0.02222575164083312,1.4954049999999999,0.0727658776350565,1.4954049999999999,0.0727658776350565,0.6244,0.10385176936383896,0.5182666666666667,0.3327350948327112
exponential,3,A,0.5687953333333333,0.1164936489785316,1.0646226666666667,0.10018296901336742,3.829378666666667,2.605118807810948,1.0646226666666667,0.10018296901336742,,,8.5989,1.2301020608063382
exponential,3,B,0.508798,0.21233146365294053,1.0971593333333332,0.30881688008483815,1.4565573333333333,0.8169726686795178,1.0971593333333332,0.30881688008483815,,,7.716766666666667,1.8314623046443879
exponential,3,C,5.768589333333334,0.5993505556161043,1.603808,0.07625271535493011,2.2994489999999996,0.27098322322055274,1.603808,0.07625271535493011,,,0.44756666666666667,0.23130936715432285
exponential,3,ClassReg,2.820781333333333,0.4335824880531192,1.9503916666666665,0.05941212725810561,,,1.9503916666666665,0.05941212725810561,,,,
exponential,3,D,5.894646999999999,0.41647358980972565,1.6122293333333335,0.06604235312534923,2.305756666666667,0.18796420930680735,1.6122293333333335,0.06604235312534923,,,0.40153333333333335,0.2209198119982301
exponential,3,E,0.50705,0.1325158415775261,1.0414763333333334,0.16544667316792236,0.9307883333333334,0.06560167624636837,0.9307883333333334,0.06560167624636837,,,9.392866666666668,0.6878370834240713
exponential,3,F,1.9082053333333333,2.262044266023398,1.2586546666666667,0.09210687169985382,0.9980166666666667,0.021623316867061256,0.9980166666666667,0.021623316867061256,,,8.173633333333333,3.1907362243427984
exponential,3,G,5.691092,0.5435694283934659,1.682448,0.0584170695858669,1.6545063333333332,0.060008578822809494,1.6545063333333332,0.060008578822809494,,,0.22516666666666665,0.043490956914436066
exponential,3,H,5.618071333333333,0.6969574775697108,1.6790186666666667,0.07579929928655889,1.6602753333333335,0.0595209140498811,1.6602753333333335,0.0595209140498811,,,0.23993333333333333,0.09510085874130335
