cell,mse,nll_gaussian,nll_mdn,nll_own,max_p_mid,anchor_error,dataset,k,seed
B,0.337877,0.583776,1.03449,0.583776,,0.7405,piecewise,3,123
C,0.333476,0.798412,0.830196,0.798412,,0.3745,piecewise,3,123
D,0.333815,0.798882,0.831871,0.798882,,0.3761,piecewise,3,123
E,0.553873,0.905306,0.757539,0.757539,,1.7745,piecewise,3,123
F,0.39197,0.712316,0.612247,0.612247,,0.6854,piecewise,3,123
G,0.588113,1.008776,1.022014,1.022014,,0.1334,piecewise,3,123
H,0.588806,1.007506,1.019546,1.019546,,0.134,piecewise,3,123
ClassReg,0.339611,0.880901,,0.880901,,,piecewise,3,7
A,0.251201,0.516008,1.89517,0.516008,,4.1353,piecewise,3,7
B,0.24733,0.5225,1.27078,0.5225,,0.8132,piecewise,3,7
C,0.313364,0.75015,0.994402,0.75015,,0.3933,piecewise,3,7
D,0.300028,0.801848,0.916167,0.801848,,0.3656,piecewise,3,7
E,0.265254,0.556496,0.49679,0.49679,,4.3038,piecewise,3,7
F,0.252798,0.530288,0.546207,0.546207,,0.7835,piecewise,3,7
G,0.354512,0.812002,0.837263,0.837263,,0.2869,piecewise,3,7
H,0.352295,0.810121,0.832748,0.832748,,0.2965,piecewise,3,7
ClassReg,0.323616,0.85522,,0.85522,,,piecewise,5,42
A,0.284656,0.550614,1.109658,0.550614,0.0182,2.4964,piecewise,5,42
B,0.320899,0.542502,1.16668,0.542502,0.0384,1.1546,piecewise,5,42
C,0.322477,0.629461,1.060235,0.629461,0.9295,0.4699,piecewise,5,42
D,0.337887,0.747822,0.899222,0.747822,0.9346,0.5851,piecewise,5,42
E,0.289721,0.508559,0.463628,0.463628,0.6852,2.4996,piecewise,5,42
F,0.29939,0.564528,0.477332,0.477332,0.6394,0.3811,piecewise,5,42
G,0.318542,0.754553,0.785126,0.785126,0.9351,0.3346,piecewise,5,42
H,0.332798,0.773976,0.805035,0.805035,0.9345,0.3549,piecewise,5,42
ClassReg,0.408575,0.985838,,0.985838,,,piecewise,5,123
A,0.345879,0.515673,0.602841,0.515673,0.064,3.2877,piecewise,5,123
B,0.307762,0.502573,2.614159,0.502573,0.2977,1.4511,piecewise,5,123
C,0.277247,0.59277,0.894622,0.59277,0.9217,0.3513,piecewise,5,123
D,0.276868,0.593877,0.892203,0.593877,0.9209,0.3582,piecewise,5,123
E,0.341997,0.618664,0.522205,0.522205,0.6931,3.3106,piecewise,5,123
F,0.280769,0.549895,0.540775,0.540775,0.002,3.1347,piecewise,5,123
G,0.279403,0.664847,0.668612,0.668612,0.9312,0.4493,piecewise,5,123
H,0.285514,0.6439,0.669836,0.669836,0.9249,0.2221,piecewise,5,123
ClassReg,0.310615,0.837703,,0.837703,,,piecewise,5,7
A,0.247687,0.529268,0.79825,0.529268,0.0687,1.363,piecewise,5,7
B,0.25827,0.438719,0.613027,0.438719,0.5818,0.9868,piecewise,5,7
C,0.333933,0.650006,0.796039,0.650006,0.9284,0.2345,piecewise,5,7
D,0.274965,0.643055,1.127796,0.643055,0.9468,0.3537,piecewise,5,7
E,0.24546,0.590568,0.560565,0.560565,0.8069,1.6785,piecewise,5,7
F,0.255419,0.539122,0.51483,0.51483,0.7204,1.0135,piecewise,5,7
G,0.279174,0.710493,0.670874,0.670874,0.9017,0.2568,piecewise,5,7
H,0.262746,0.644272,0.59807,0.59807,0.9018,0.2572,piecewise,5,7
ClassReg,3.316601,2.018449,,2.018449,,,exponential,3,42
A,0.445957,1.051742,1.716993,1.051742,,9.3701,exponential,3,42
B,0.526497,1.12211,1.255654,1.12211,,8.7139,exponential,3,42
C,6.384268,1.677063,2.507092,1.677063,,0.4754,exponential,3,42
D,6.35817,1.68243,2.453693,1.68243,,0.3331,exponential,3,42
E,0.508358,1.180856,0.998831,0.998831,,9.842,exponential,3,42
F,0.563766,1.201279,1.022977,1.022977,,9.8275,exponential,3,42
G,6.18997,1.748083,1.723498,1.723498,,0.2424,exponential,3,42
H,6.159474,1.718414,1.707508,1.707508,,0.1939,exponential,3,42
ClassReg,2.668147,1.927074,,1.927074,,,exponential,3,123
A,0.677689,1.170623,6.740299,1.170623,,7.1803,exponential,3,123
B,0.711726,1.392744,2.35524,1.392744,,5.6031,exponential,3,123
C,5.734476,1.609486,2.398347,1.609486,,0.2036,exponential,3,123
D,5.759922,1.6032,2.360138,1.6032,,0.2221,exponential,3,123
E,0.373885,0.858638,0.867936,0.867936,,8.601,exponential,3,123
F,4.519808,1.364897,0.986088,0.986088,,4.4955,exponential,3,123
G,5.771514,1.663106,1.625591,1.625591,,0.1757,exponential,3,123
H,5.768628,1.659623,1.630519,1.630519,,0.1441,exponential,3,123
ClassReg,2.512739,1.908883,,1.908883,,,exponential,3,7
A,0.58274,0.971503,3.030844,0.971503,,9.2463,exponential,3,7
B,0.288171,0.776624,0.758778,0.776624,,8.8333,exponential,3,7
C,5.187024,1.524875,1.992908,1.524875,,0.6637,exponential,3,7
D,5.570039,1.5495,2.091066,1.5495,,0.6498,exponential,3,7
E,0.638907,1.084935,0.925598,0.925598,,9.7356,exponential,3,7
F,0.641042,1.209788,0.984985,0.984985,,10.1979,exponential,3,7
G,5.111792,1.636155,1.61443,1.61443,,0.2574,exponential,3,7
H,4.854902,1.616224,1.624447,1.624447,,0.3336,exponential,3,7
ClassReg,2.726988,1.920614,,1.920614,,,exponential,5,42
A,0.599698,1.218562,3.712396,1.218562,0.1038,19.1342,exponential,5,42
B,1.123545,1.385701,2.130966,1.385701,0.178,6.1347,exponential,5,42
C,2.674682,1.390062,1.741582,1.390062,0.7437,0.9185,exponential,5,42
D,2.010496,1.367146,2.211357,1.367146,0.7503,0.7479,exponential,5,42
E,0.821193,1.197748,1.105566,1.105566,0.367,18.1708,exponential,5,42
F,0.861237,1.130685,1.062958,1.062958,0.0207,7.3393,exponential,5,42
G,3.009925,1.397519,1.472622,1.472622,0.7588,0.2125,exponential,5,42
H,3.026741,1.39325,1.473043,1.473043,0.7579,0.2268,exponential,5,42
ClassReg,2.446453,1.879925,,1.879925,,,exponential,5,123
A,0.623553,1.039232,2.852752,1.039232,0.0539,16.2975,exponential,5,123
B,0.946353,1.154569,2.731268,1.154569,0.0001,2.1685,exponential,5,123
C,1.384947,1.409615,2.543931,1.409615,0.7035,1.2863,exponential,5,123
D,1.409265,1.391845,2.663714,1.391845,0.7022,1.0779,exponential,5,123
E,1.603439,1.164482,1.148373,1.148373,0.0075,14.3659,exponential,5,123
F,3.453863,2.054175,1.13198,1.13198,0.1514,3.1915,exponential,5,123
